,mpk,khiêu,vũ,cùng,nắng,gió,và,đà,lạt,huyền,nhiệm,một,tác,phẩm,tại,phòng,triển,lãm,của,trong,những,ngày,nóng,lên,với,festival,hoa,2005,thì,cũng,tự,hâm,chính,mình,bằng,thật,ấn,tượng,tên,gọi,bộ,sưu,tập,gồm,90,bức,ảnh,chủ,đề,đã,làm,người,xem,xao,xuyến,vì,được,tham,gia,vào,chuyến,phiêu,lưu,hai,năm,trước,bên,cốc,trà,ở,quán,cà,phê,tùng,điểm,hẹn,quen,thuộc,giới,nghệ,sĩ,không,gì,may,mắn,vô,tình,khám,phá,ra,thế,kỳ,thú,khác,tia,mà,đó,chỉ,mỗi,lần,nhích,chiếc,ly,chút,so,góc,chiếu,là,ta,có,ngay,tư,đang,sau,khi,khùng,15,cuộn,phim,cho,đời,khúc,đẹp,đến,mê,hồn,cơ,duyên,nhưng,để,chọn,cách,nghĩ,giống,ai,thứ,hình,muốn,bắt,cái,thần,tôi,hữu,lột,tả,từ,triết,lý,tưởng,như,đơn,giản,ấy,chụp,lại,khoảnh,khắc,rung,rinh,mờ,ảo,bông,theo,ủ,rũ,đi,ngược,đưa,thêm,sức,sống,vẻ,kiên,cường,nhìn,phấn,khởi,khách,hiểu,rằng,vua,về,tâm,ông,hoạt,động,diễn,lễ,hội,kéo,dài,18,12,bế,mạc
0,0.012100840888164894,0.00950688627782432,0.007235272884946138,0.00950688627782432,0.010946545296872043,0.010946545296872043,0.025417091066764323,0.021705818654838414,0.021705818654838414,0.03636363636363636,0.03636363636363636,0.004033613629388298,0.01818181818181818,0.01818181818181818,0.012708545533382161,0.01818181818181818,0.01901377255564864,0.025417091066764323,0.005473272648436021,0.00950688627782432,0.002816399272468058,0.00950688627782432,0.03636363636363636,0.01818181818181818,0.014470545769892276,0.012708545533382161,0.002816399272468058,0.012708545533382161,0.01818181818181818,0.00950688627782432,0.01818181818181818,0.01818181818181818,0.012708545533382161,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,0.01493939272229536,0.01720171403794178,0.01720171403794178,0.01997057155245768,0.022739429066973578,0.022739429066973578,,,0.006338535703324468,,,,,,,,,,,,,,,0.004425770285306948,,,,,,,,,,,,,,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.01997057155245768,0.01997057155245768,0.02857142857142857,0.02857142857142857,0.00860085701897089,0.011369714533486789,0.01493939272229536,0.01493939272229536,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.01997057155245768,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.002773109370204455,0.006535984316004221,0.00497425010840047,,0.00752574989159953,,,0.00497425010840047,0.00497425010840047,,,0.01109243748081782,,,,,,,0.01505149978319906,0.006535984316004221,0.0019362744998217898,0.006535984316004221,,,0.00497425010840047,,,,,,,,,,,,,,,,,,,,,,,,,,0.00497425010840047,0.006535984316004221,,,,,,,,,,,,0.0125,0.0125,0.006535984316004221,0.0125,0.0125,0.025,0.025,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.008737125054200236,0.0375,0.025,0.025,0.00497425010840047,0.008737125054200236,0.0125,0.0125,0.008737125054200236,0.0125,0.0125,0.0125,0.006535984316004221,0.01960795294801266,0.0125,0.0125,0.025,0.0125,0.006535984316004221,0.008737125054200236,0.008737125054200236,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.002773109370204455,0.0125,0.0125,0.0125,0.0125,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.010084034073470746,,0.018088182212365345,,0.013683181621090055,,,,,,,,,,,,,,,,0.007040998181170145,,,,0.018088182212365345,,,,,,,,,,,,,,,,,,,,,,,,,0.013683181621090055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023767215694560802,0.023767215694560802,,,,,,,,,,,,,,,,,0.010084034073470746,,,,,,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.031771363833455406,0.045454545454545456,0.045454545454545456,0.031771363833455406,0.023767215694560802,0.045454545454545456,0.031771363833455406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.004266322108006854,0.010055360486160339,0.007652692474462262,0.010055360486160339,0.005789038378153485,0.017367115134460456,,,,,,0.008532644216013708,,,,,,,0.005789038378153485,,,,,,0.015305384948924524,,0.002978883845879677,,,,,,,,,,,,,,,,,,,,,,,0.01157807675630697,,,,,,,0.013441730852615748,,,,,,,,,,,,,,,,,,,,,,,,,0.007652692474462262,,,,0.026883461705231496,,,,,0.010055360486160339,,,,,,0.013441730852615748,,,,,,,,,,,0.012798966324020562,,,,,,,,,,,,,,,,,,,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.038461538461538464,0.057692307692307696,0.038461538461538464,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.057692307692307696,0.013441730852615748,0.019230769230769232,0.04032519255784724,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.010564226172207447,,,,,0.014334761698284819,,,,,,0.010564226172207447,,,,,,,,,0.007376283808844913,,,,,,0.007376283808844913,,,,,,,,,,,,,,,,,,,,,,,0.014334761698284819,,,,,,,,,,,,,,,,0.024898987870492266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0332842859207628,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0332842859207628,0.047619047619047616,0.047619047619047616,0.0332842859207628,0.0332842859207628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,0.021002092720742875,,,,,,,,,,,,,0.007000697573580958,,0.003602371162459144,,,,,,0.010807113487377432,,,,,,0.016255116379907415,,,,,,,,,,,,,,,,,0.007000697573580958,0.01850883761265291,0.012159970820472968,0.012159970820472968,,,,,,,,,,,,,0.012159970820472968,,,,,,,,,,,,,,,,0.009254418806326456,,,,,,,,,,,,,,0.012159970820472968,,,,,,,,,,,,,,,,,,,,,,,,0.016255116379907415,,,0.016255116379907415,,,,,,,,,,,,,,,0.016255116379907415,,0.016255116379907415,,,,,,,,,,0.016255116379907415,,,,,0.016255116379907415,,,0.016255116379907415,0.016255116379907415,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.016255116379907415,0.023255813953488372,0.023255813953488372,,,,,,,,,,,,,,,,,,,,,
7,0.012677071406648937,,,,,,,0.011369714533486789,0.011369714533486789,,,,,,,,,,0.01720171403794178,,0.008851540570613896,,,,,,0.004425770285306948,,,0.01493939272229536,,,,,,,,,,,,,,,,0.01997057155245768,0.01997057155245768,,,,,,0.01493939272229536,,,,,,,,,,,,,,,,,,,,,,,,,0.03994114310491536,,,,0.011369714533486789,0.01997057155245768,,,,,,,,,,,,,0.01493939272229536,,0.01997057155245768,,,,,,,,,,0.006338535703324468,,,,,,,,,,,,,,,,0.01493939272229536,,0.01997057155245768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01997057155245768,,,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.08571428571428572,0.02857142857142857,0.02857142857142857,,,,,,,,,,,
8,,,,,,,,,,,,0.013865546851022275,,,0.04368562527100118,,0.0326799215800211,0.04368562527100118,,0.0326799215800211,0.00968137249910895,,,,,0.04368562527100118,0.00968137249910895,0.04368562527100118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0326799215800211,,,,,,,,,,,,,,,,,,0.013865546851022275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,0.0625,0.0625,0.04368562527100118,0.04368562527100118,,,,,,
9,,,,,,,,,,,,,,,,,0.034858583018689174,,,,,0.06971716603737835,,,,,,,,0.034858583018689174,,,,,,,,,,,,,,,,,,,,,0.026529333911469173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014789916641090426,,,,,,,,,,,,,,,,0.034858583018689174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04659800028906792,0.04659800028906792,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
