,mời,bạn,đọc,tham,gia,bình,chọn,giải,mai,vàng,xi,2005,hoa,hậu,nguyễn,thị,huyền,trao,lần,x,2004,cho,nhóm,acampm,ảnh,n,hữu,tổng,trị,giá,thưởng,và,văn,nghệ,sĩ,135,triệu,đồng,sau,hơn,4,tháng,diễn,ra,vòng,đề,cử,ban,tổ,chức,đã,mỗi,hạng,mục,5,cá,nhân,tập,thể,được,đưa,vào,ở,này,chỉ,bỏ,phiếu,1,trong,của,mà,theo,là,xứng,đáng,nhất,cách,thức,dựa,trên,in,sẵn,báo,người,lao,động,đánh,dấu,ô,vuông,có,tên,mình,yêu,thích,ngoài,phải,trả,lời,câu,hỏi,bắt,buộc,bao,nhiêu,để,xác,định,trúng,hay,không,thuộc,về,kết,quả,đúng,gần,với,số,lượng,gởi,thực,tế,19,nam,nữ,ca,nhạc,nhẹ,âm,hưởng,dân,hát,đạo,viên,kịch,nói,cải,lương,hài,sân,khấu,điện,phim,truyền,hình,chương,trình,dẫn,mc,nhà,thiết,kế,thời,trang,dành,cả,3,bảng,75,20,2,nhì,10,ba,15,khuyến,khích,60,gồm,cúp,hiện,kim,gian,nhận,đầu,từ,ngày,12,đến,hết,30,xa,sẽ,căn,cứ,bưu,xin,vui,lòng,cắt,các,tuần,điền,đầy,đủ,cầu,tòa,soạn,123,127,võ,tần,quận,tphcm,bì,thư,ghi,rõ,cũng,nlđ,tử,tại,địa,www,nld,com,vn,những,từng,rất,mong,nhiệt,tình
0,0.04486310329875797,0.007649956883322634,0.007649956883322634,0.018030301561390953,0.020760689356136633,0.008953010707095038,0.008953010707095038,0.017906021414190076,0.041521378712273266,0.041521378712273266,0.034482758620689655,0.020760689356136633,0.04486310329875797,0.04486310329875797,0.04486310329875797,0.04486310329875797,0.04486310329875797,0.04486310329875797,0.034482758620689655,0.04486310329875797,0.04486310329875797,0.018030301561390953,0.034482758620689655,0.04486310329875797,0.034482758620689655,0.04486310329875797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.013865546851022275,0.013865546851022275,,,,,0.016227331906609757,,,,,,,,,,,,,,0.0326799215800211,,,,,0.08131437472899883,0.05149429630901992,0.0625,0.0625,0.05149429630901992,0.05149429630901992,0.03762874945799765,0.03762874945799765,0.0326799215800211,0.08131437472899883,0.0326799215800211,0.0326799215800211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.006162465267121011,0.006162465267121011,,,0.0072121475140487805,0.014424295028097561,,,,,,,,,,,,,,,,,,,,,,,,,,0.016723888647998956,0.016723888647998956,0.014524409591120488,,,,0.027777777777777776,0.03613972210177725,0.027777777777777776,0.03613972210177725,0.027777777777777776,0.0388316669075566,0.05555555555555555,0.0722794442035545,0.0722794442035545,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.03613972210177725,0.022886353915119964,0.016723888647998956,0.016723888647998956,0.0194158334537783,0.022886353915119964,0.022886353915119964,0.022886353915119964,0.022886353915119964,0.027777777777777776,0.03613972210177725,0.022886353915119964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.014789916641090426,0.014789916641090426,,,0.008654577016858537,0.008654577016858537,,,,,,,,,,,,,,,0.017429291509344587,,,,,,,,,,,,,,,,,,,,,,,0.03333333333333333,,,,,,,0.02746362469814396,0.020068666377598746,0.020068666377598746,0.02329900014453396,0.02746362469814396,0.02746362469814396,0.02746362469814396,0.02746362469814396,,,,0.02746362469814396,0.04336766652213271,0.02746362469814396,0.02746362469814396,0.013264666955734587,0.02746362469814396,0.03333333333333333,0.02329900014453396,0.03333333333333333,0.03333333333333333,0.04336766652213271,0.03333333333333333,0.03333333333333333,0.020068666377598746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0.00554621874040891,0.00554621874040891,,,0.012981865525287807,0.012981865525287807,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01505149978319906,0.013071968632008442,,,,0.025,,,,,,,,,,,,,0.04119543704721594,0.01505149978319906,0.01505149978319906,,,,,,,,0.02059771852360797,0.02059771852360797,,0.02059771852360797,,0.00994850021680094,,,0.017474250108400473,0.025,,,,,,0.03252574989159953,0.03252574989159953,0.03252574989159953,0.034948500216800946,0.025,0.06505149978319906,0.02059771852360797,0.01505149978319906,0.025,0.025,0.03252574989159953,0.025,0.03252574989159953,0.03252574989159953,0.017474250108400473,0.03252574989159953,0.03252574989159953,0.02059771852360797,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.013865546851022275,0.013865546851022275,0.01633996079001055,0.018814374728998825,0.008113665953304879,0.008113665953304879,0.016227331906609757,0.018814374728998825,0.018814374728998825,,0.018814374728998825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02184281263550059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018814374728998825,,,,,,,0.02184281263550059,,,,,0.03125,0.040657187364499414,0.03125,0.03125,0.03125,0.03125,0.02574714815450996,0.03125,0.040657187364499414,0.040657187364499414,0.03125,0.040657187364499414,0.040657187364499414,0.040657187364499414,0.040657187364499414,0.040657187364499414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.006162465267121011,0.006162465267121011,0.014524409591120488,0.016723888647998956,0.014424295028097561,0.014424295028097561,0.0072121475140487805,,,,,,,,,,,,,,,,,,,,,,,,0.022886353915119964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011053889129778822,,,,,,,,,0.050171665943996864,,,,0.0194158334537783,,,,0.016723888647998956,,,,,,,0.0194158334537783,,,,,,,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.022886353915119964,0.027777777777777776,,,,,,,,,0.03613972210177725,0.027777777777777776,0.03613972210177725,0.03613972210177725,0.0722794442035545,0.027777777777777776,0.03613972210177725,0.03613972210177725,0.03613972210177725,0.022886353915119964,0.03613972210177725,0.03613972210177725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.0016075996349011333,0.0016075996349011333,0.0037889764150749105,,0.001881429786273595,0.001881429786273595,,,,,,,,,,,,,,,,0.007246376811594203,,0.014492753623188406,,,,,,,,,,0.01136692924522473,,,,,,,,0.050724637681159424,,,,,,,,,,0.0043627535603475535,0.0043627535603475535,,,,,,0.10144927536231885,,,,,,0.0059703531952486864,0.0028836232512466494,,,,,,,,,0.06107854984486576,,,,,,,,0.0043627535603475535,,,,,,,,,,0.08358494473348162,0.10144927536231885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00942775359176798,0.0471387679588399,0.0471387679588399,0.03771101436707192,0.03771101436707192,0.00942775359176798,0.00942775359176798,0.00942775359176798,0.00942775359176798,0.00942775359176798,0.02828326077530394,0.03771101436707192,0.00942775359176798,0.00942775359176798,0.00942775359176798,0.00942775359176798,0.00942775359176798,0.00942775359176798,0.00942775359176798,0.011940706390497373,0.01885550718353596,0.02828326077530394,0.02828326077530394,0.01885550718353596,0.01885550718353596,0.00942775359176798,0.00942775359176798,0.00942775359176798,0.00942775359176798,0.00942775359176798,0.007246376811594203,0.00942775359176798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.01167624997980823,0.01167624997980823,,,,,0.02733024321113222,,,,,,,,,,,,,,0.02751993396212303,,,,,,0.04336361794443783,,,0.04336361794443783,,,,,,0.05503986792424606,0.05503986792424606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04336361794443783,,,,,,,,0.0316873679646296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06847526292968321,0.06847526292968321,0.05263157894736842,0.06847526292968321,0.06847526292968321,0.06847526292968321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,0.07418208871593031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0746969636114768,0.0746969636114768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1858614279519973,0.1858614279519973,0.1858614279519973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
