,google,khó,xâm,nhập,thị,trường,hàn,quốc,đã,chen,chân,vào,gần,như,mọi,góc,cạnh,cuộc,sống,trên,toàn,thế,giới,nhưng,lại,thất,bại,cay,đắng,trong,việc,cố,một,những,gia,nối,mạng,số,người,dùng,thuộc,hàng,sành,công,nghệ,và,thạo,internet,nhất,với,triệu,có,blog,riêng,tỷ,lệ,kết,băng,thông,rộng,cùng,điểm,nóng,wi,fi,dày,đặc,tưởng,sẽ,tự,động,nhiên,trở,thành,khách,trung,của,không,theo,liệu,websidestory,gã,khổng,lồ,tìm,kiếm,chỉ,chiếm,17,tổng,lượng,tháng,3,vừa,qua,hoàn,bị,phủ,bóng,bởi,website,địa,phương,là,naver,nhn,corp,trang,web,này,tới,584,yêu,cầu,hiện,nay,tại,đứng,thứ,hai,daum,communications,cũng,cụ,nội,hơn,48,tiếng,yahoo,ở,vị,trí,thể,thắc,mắc,sao,hãng,mà,mới,tuần,trước,khiến,tất,cả,đầu,tư,phải,sửng,sốt,cú,tăng,lợi,nhuận,lên,60,quý,i,xứ,sở,kim,chi,cách,nhân,bản,phân,tích,cho,rằng,dĩ,vì,nhiều,yếu,tố,độc,đáo,biệt,quả,quá,dựa,dẫm,phần,mềm,thay,kiến,thức,chuyên,môn,con,miếng,bánh,tương,đối,nhỏ,bé,so,cộng,đồng,các,nước,nói,anh,gian,đây,thường,rất,khăn,khi,muốn,tin,bằng,mẹ,đẻ,mình,để,vãn,hồi,tình,giống,cổng,kiểu,đơn,thuần,tung,ra,cái,gọi,knowledge,in,nơi,post,câu,hỏi,khác,trả,lời,nếu,biết,giờ,hữu,cơ,dữ,411,mục,từ,mỗi,bạn,nhận,được,site,tức,liên,quan,đường,link,chứa,khóa,dịch,vụ,rõ,ràng,phù,hợp,văn,hóa,nhà,wayne,lee,woori,securities,dân,thích,tác,phản,phổ,biến,tập,xoay,quanh,ăn,kiêng,hoặc,tiêu,diệt,virus,máy,tính,tuy,thấy,trời,dưới,biển,đặt,tên,khủng,long,làm,hết,mụn,tồn,phát,triển,đạt,nỗ,lực,marketing,hiếm,hoi,yim,kwang,soon,sinh,viên,25,tuổi,sử,dụng,bình,5,ngày,cậu,luôn,chừng,nào,còn,ta,hài,lòng,thỏa,mãn,họ,chuyển,sang,trừ,phi,cung,cấp,đó,lắm,bắt,lập,năm,2000,đến,lần,lượt,thiệu,desktop,search,gmail,6,ngoái,phòng,seoul,đang,dự,định,thêm,thuê,xe,buýt,2,tầng,chạy,đại,học,tâm,mua,sắm,khắp,nhiệm,quảng,bá,experience,về,truy,cập,miễn,phí,ty,chẳng,bao,cáo,mỹ,do
0,0.02457387719705969,0.022024107062196426,0.056335152722922686,0.056335152722922686,0.022024107062196426,0.018430407897794765,0.012286938598529844,0.032762032756980565,0.00973716846366658,0.028167576361461343,0.028167576361461343,0.03686081579558953,0.022024107062196426,0.018430407897794765,0.022024107062196426,0.028167576361461343,0.028167576361461343,0.028167576361461343,0.028167576361461343,0.013902882395420145,0.022024107062196426,0.031761275525863004,0.031761275525863004,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.028167576361461343,0.028167576361461343,0.03686081579558953,0.028167576361461343,0.028167576361461343,0.013829328838913506,0.013902882395420145,0.028167576361461343,0.022024107062196426,0.018430407897794765,0.012286938598529844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,0.007718717837537979,0.013720851325573056,,,,0.023156153512613936,,,,,,,,,,0.01995259616368317,0.01995259616368317,,,,,,,,,,,,,0.02767131400122115,,,0.02184455037293749,0.02767131400122115,0.03539003183875913,0.04631230702522787,0.03539003183875913,0.017467724035271467,0.03539003183875913,0.017375310592481073,0.03539003183875913,0.023156153512613936,0.0553426280024423,0.010922275186468745,0.02767131400122115,0.015437435675075958,0.02767131400122115,0.02767131400122115,0.03539003183875913,0.03539003183875913,0.02767131400122115,0.03539003183875913,0.023156153512613936,0.03539003183875913,0.01995259616368317,0.03539003183875913,0.03539003183875913,0.03539003183875913,0.03539003183875913,0.03539003183875913,0.03539003183875913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.028669523396569637,,,,,,0.014334761698284819,,,,,,,0.043004285094854454,,,,,,,,0.03705482144684017,,0.05138958314512499,,,,,,,,,,,,,,,0.0202842253462991,,,0.043004285094854454,,,,0.016134216978732425,,,,,,,,,,,,,,,,,,,,,,0.0657243448434098,0.03705482144684017,0.1314486896868196,0.0657243448434098,0.043004285094854454,0.0657243448434098,0.10277916629024998,0.05138958314512499,0.03705482144684017,0.022720059748555354,0.03705482144684017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,0.026979531151190624,,,,,,,,,0.02257724967479859,,,,,,,,0.01505149978319906,,,,0.02257724967479859,,,,0.008470463913834525,,,,,,0.01505149978319906,,,,,,,,,,,,,,,,,,,,,,,0.026979531151190624,,0.023856062735983122,,0.03450528104279015,0.026979531151190624,0.03450528104279015,0.03450528104279015,0.03450528104279015,0.03450528104279015,0.0190105620855803,0.021298436613614056,0.03450528104279015,0.026979531151190624,0.03450528104279015,0.02257724967479859,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.03450528104279015,0.03450528104279015,0.03450528104279015,0.03450528104279015,0.03450528104279015,0.03450528104279015,0.03450528104279015,0.03450528104279015,0.026979531151190624,0.03450528104279015,0.01337783004243373,0.01505149978319906,0.03450528104279015,0.03450528104279015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,0.016723888647998956,0.029728511205408287,,,,,0.05995451366931249,,,,,,,,,,,,,,,,,,,,,,,,,0.03344777729599791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021122846761755888,0.023664929570682284,,0.05995451366931249,,0.05017166594399686,,,,,,,,,,,,,,,,,,0.043230625021313536,0.05017166594399686,0.05017166594399686,0.05017166594399686,0.07667840231731143,0.05017166594399686,0.05995451366931249,0.07667840231731143,0.07667840231731143,0.03344777729599791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018823253141854495,,,,,,,,,,,0.03784673540975484,,,,,,0.023664929570682284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021122846761755888,0.023664929570682284,,,,,,,,,,,,,,,,0.05995451366931249,,0.05945702241081657,,,,,,,,,,,,,,0.05995451366931249,0.05995451366931249,0.07667840231731143,0.07667840231731143,0.07667840231731143,0.05017166594399686,0.05995451366931249,0.07667840231731143,0.05017166594399686,0.07667840231731143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,0.02736636324218011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043374659519969314,,,,,,,,,,,,,,,,0.09810738600432954,,,,,,,,,,,,,,,0.07074102276214943,,,,,,,,,,0.09810738600432954,0.09810738600432954,,,,,,,,,0.06193102157959884,0.09810738600432954,0.09810738600432954,0.12547374924650964,0.12547374924650964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.018620412102926674,,,,0.011125579856161081,0.009310206051463335,0.0031034020171544453,0.005516630945333497,0.00491877582185219,,,0.01862041210292667,,,,,,,,,,,0.01604435567801327,,0.011125579856161081,0.011125579856161081,0.011125579856161081,,,0.009310206051463335,,,0.0034929748098286697,,,,,,0.004391430229611145,,,,,0.007023105539954506,,0.0034929748098286697,,,,0.004391430229611145,,,,0.011125579856161081,,,0.011125579856161081,,,,,,,,,,,,,,,,,0.011125579856161081,,,0.01475632746555657,0.024066533517019907,,,,,,,0.007839407045600124,0.00878286045922229,,,,,,,,,,,,,,,,,,0.005516630945333497,,,,,,,0.009310206051463335,,,,,,0.006206804034308891,,,,,,,,,,,,,0.011125579856161081,,,0.008022177839006635,0.014228981873315524,0.014228981873315524,0.011125579856161081,0.008022177839006635,0.009310206051463335,0.014228981873315524,0.014228981873315524,0.011125579856161081,0.011125579856161081,0.011125579856161081,0.014228981873315524,0.011125579856161081,0.014228981873315524,0.014228981873315524,0.014228981873315524,0.014228981873315524,0.014228981873315524,0.011125579856161081,0.014228981873315524,0.014228981873315524,0.014228981873315524,0.014228981873315524,0.014228981873315524,0.014228981873315524,0.014228981873315524,0.022251159712322163,0.014228981873315524,0.014228981873315524,0.009310206051463335,0.011125579856161081,0.014228981873315524,0.011125579856161081,0.011125579856161081,0.007023105539954506,0.028457963746631048,0.014228981873315524,0.028457963746631048,0.014228981873315524,0.014228981873315524,0.014228981873315524,0.011125579856161081,0.011125579856161081,0.014228981873315524,0.014228981873315524,0.011125579856161081,0.014228981873315524,0.014228981873315524,0.014228981873315524,0.014228981873315524,0.014228981873315524,0.014228981873315524,0.014228981873315524,0.014228981873315524,0.014228981873315524,0.011125579856161081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,0.01308826068104266,0.023265791378145616,,,,,,,,,,,,0.02961918423372118,,,,,,,,,,,,,,,,,0.03926478204312798,,,,,,,,,,,,,0.01852037966401222,,,,,,,,,,,,,,,,,,,,,,0.03926478204312798,,,,,,0.03383266306015842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02961918423372118,,,,,,,,,,,,,,,0.04692092374120108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06000918442224373,0.06000918442224373,0.04692092374120108,0.06000918442224373,0.06000918442224373,0.06000918442224373,0.06000918442224373,0.06000918442224373,0.06000918442224373,0.03926478204312798,0.03926478204312798,0.04692092374120108,0.06000918442224373,0.06000918442224373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.05138958314512499,,,,,0.014334761698284819,0.025481581033207103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0202842253462991,,,,,,,,,,,,,,,,,,,,0.043004285094854454,,,,,,,,,,,,,,,,,,0.022720059748555354,,,,,,,,0.01810529722436219,0.0202842253462991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03244005892264701,,,,,,,,,,,,,0.05138958314512499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03244005892264701,0.0657243448434098,0.05138958314512499,0.0657243448434098,0.05138958314512499,0.0657243448434098,0.043004285094854454,0.0657243448434098,0.0657243448434098,0.0657243448434098,0.0657243448434098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
