,vi,phạm,thỏa,thuận,kết,nối,viễn,thông,sẽ,bị,phạt,tiền,khi,các,doanh,nghiệp,thực,hiện,nghiêm,túc,thoả,liệu,người,dân,thoát,được,cảnh,nghẽn,liên,mạng,bộ,trưởng,bcvt,đỗ,trung,tá,vừa,ban,hành,quyết,định,12,2006,qđ,bbcvt,về,giữa,công,cộng,quy,nào,xử,này,yêu,cầu,cần,đảm,bảo,dung,lượng,theo,đúng,hàng,năm,phải,xây,dựng,kế,hoạch,của,mình,cho,1,tiếp,và,gửi,cung,cấp,trước,ngày,31,tháng,xác,rõ,thời,gian,sử,dụng,chi,tiết,đến,từng,quý,đối,với,hướng,vị,trí,điểm,mới,trong,là,việc,chế,tài,hai,có,thể,đặt,cọc,một,khoản,không,quá,lần,mức,cước,thuê,e1,nội,hạt,mỗi,mặt,khác,nếu,kịp,thì,trả,số,tương,đương,giá,trị,ngoài,ra,bên,còn,do,hợp,đồng,đây,nhằm,tiến,tới,sự,thống,nhất,cao,tham,gia,giảm,thiểu,tình,trạng,cũng,quyền,tối,đa,vượt,đáp,ứng,xét,thấy,hiệu,quả,thu,hồi,lại,dư,thừa,để,chỉ,sau,tục,nhưng,thêm,nhờ,đó,tận,luồng,phát,huy,sao
0,0.01383207874042696,0.01383207874042696,0.01054290678785181,0.017245346556132378,0.008114371921533504,0.008114371921533504,0.04217162715140724,0.04217162715140724,0.02526397606033803,0.028339548410980273,0.01383207874042696,0.005748448852044126,0.00842132535344601,0.02108581357570362,0.0053457530028037685,0.0053457530028037685,0.01684265070689202,0.01684265070689202,0.014169774205490137,0.014169774205490137,0.01383207874042696,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.005748448852044126,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.028339548410980273,0.01684265070689202,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.003987870108932825,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.00842132535344601,0.011496897704088252,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.00842132535344601,0.014169774205490137,0.014169774205490137,0.01054290678785181,0.014169774205490137,0.014169774205490137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,0.022720059748555354,0.0064142178046407705,0.0064142178046407705,0.04166958397103333,0.04166958397103333,,,,,,0.04166958397103333,0.010564226172207447,0.010564226172207447,,,,,0.027334822272748516,,,,,,,,,,,,,,,,,,,0.0332842859207628,0.022720059748555354,,,,,,,,,,,,0.04166958397103333,0.01576158185911545,0.01576158185911545,0.056004345669318153,0.04166958397103333,0.04166958397103333,0.022720059748555354,0.01576158185911545,0.01894952422247798,0.056004345669318153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,0.010102393042309213,0.010102393042309213,,,,,,,,,0.01109243748081782,0.01109243748081782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00827483047603561,0.00827483047603561,,,,0.011928031367991561,0.00827483047603561,0.00994850021680094,,0.034948500216800946,0.0656295947543775,0.011928031367991561,0.029402281476392036,0.029402281476392036,0.006825031801593441,0.021876531584792504,0.017474250108400473,0.029402281476392036,0.028701563386385943,0.034948500216800946,0.021876531584792504,0.017474250108400473,0.029402281476392036,0.006825031801593441,0.006825031801593441,0.029402281476392036,0.029402281476392036,0.029402281476392036,0.00827483047603561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,0.011224881158121348,0.011224881158121348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013253368186657288,,,,,,,,,,,,,,,,,,0.026506736373314577,0.018388512168968023,,,0.0194158334537783,0.024307257316436112,0.013253368186657288,,,0.007583368668437156,0.024307257316436112,,,,,,0.0194158334537783,,,,,,,0.009194256084484011,0.03266920164043559,0.024307257316436112,0.013253368186657288,0.03266920164043559,0.015945312992436633,0.013253368186657288,0.03266920164043559,0.03266920164043559,0.03266920164043559,0.07292177194930834,0.024307257316436112,0.015945312992436633,0.015945312992436633,0.03266920164043559,0.03266920164043559,0.03266920164043559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,0.006816017924566606,0.005772796024176694,0.005772796024176694,,,0.00998528577622884,,,0.006816017924566606,,,0.009507803554986703,0.009507803554986703,0.00998528577622884,0.00998528577622884,,,0.008200446681824555,,,,,,,,,,,,,,0.009456949115469269,,,,,0.00998528577622884,0.006816017924566606,,,,,,0.00998528577622884,,,,,,0.01250087519131,0.009456949115469269,0.009456949115469269,,,,,,0.0056848572667433945,,,,,,,0.007800036344678218,,0.00998528577622884,,,0.00998528577622884,,,,0.003900018172339109,0.003900018172339109,,,,0.014185423673203905,,,,,0.008200446681824555,0.006816017924566606,,,,0.01250087519131,0.01250087519131,0.008200446681824555,0.008200446681824555,,,,0.016801303700795446,0.016801303700795446,0.02500175038262,0.00998528577622884,0.00998528577622884,0.01250087519131,0.01250087519131,0.00998528577622884,0.006816017924566606,0.016801303700795446,0.01250087519131,0.01250087519131,0.00998528577622884,0.00998528577622884,0.0056848572667433945,0.00998528577622884,0.01250087519131,0.008200446681824555,0.00998528577622884,0.00998528577622884,0.01640089336364911,0.00998528577622884,0.00998528577622884,0.00998528577622884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,0.009183993674826557,0.009183993674826557,,,,,,0.021687329759984657,,,0.010084034073470746,0.010084034073470746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007522573160032374,0.007522573160032374,,,,0.010843664879992328,0.007522573160032374,0.009044091106182673,,,,0.010843664879992328,,,,,,,0.013046165175629974,,,0.015885681916727703,,0.012409148730169893,0.012409148730169893,,,,0.007522573160032374,,,0.010843664879992328,,,,,,,,,,,,,,,,,,,,,,,,0.039775511972350006,0.039775511972350006,0.015885681916727703,0.015885681916727703,0.009044091106182673,,,,,,,,,,0.02672934679672003,0.02672934679672003,0.019887755986175003,0.013046165175629974,0.02672934679672003,0.015885681916727703,0.010843664879992328,0.02672934679672003,0.02672934679672003,0.02672934679672003,0.02672934679672003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.031890625984873265,0.031890625984873265,,0.026506736373314577,,,,,,,,0.026506736373314577,,,,,,,,,0.031890625984873265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022107778259557644,,,,0.026506736373314577,,,,,,,,,,,,0.015166737336874313,0.015166737336874313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0388316669075566,0.026506736373314577,,,,,0.048614514632872224,0.06533840328087118,0.0388316669075566,0.06533840328087118,0.06533840328087118,0.0388316669075566,0.031890625984873265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.03804614188659566,0.020744402379115758,0.005856459734672008,0.005856459734672008,,,,,,,0.03039000018852256,,,,,,,,,,,,,,,,,,0.03039000018852256,,,,,,,,,,,,,,,,0.03039000018852256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03039000018852256,,0.03804614188659566,0.03804614188659566,0.03039000018852256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03039000018852256,,,,0.024957881205552992,0.05113440256763832,0.03804614188659566,0.05113440256763832,0.05113440256763832,0.03804614188659566,0.03804614188659566,0.03039000018852256,0.05113440256763832,0.05113440256763832,0.05113440256763832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.015106085992834705,0.015106085992834705,,,0.007089398626181903,0.007089398626181903,,,,,0.015106085992834705,,,,0.005838124989904115,0.005838124989904115,,,,,,,,,,,,,,,0.01839394748252681,,,,,,,,,,0.012555822492622696,,,,,,,,,0.023027927983992107,,,,,,,,,0.012555822492622696,0.008710347869511168,0.01047210549136941,,,,,,,,,,,,,,,,0.014368488003354612,0.014368488003354612,,,,0.008710347869511168,,0.023027927983992107,0.02511164498524539,,,,,,,,,,,,,,,,0.023027927983992107,,,,,,,,,,,,0.01047210549136941,,,0.015106085992834705,,,,,,,,,,0.015106085992834705,,,,,,,,,,,,,0.03678789496505362,0.04531825797850412,,0.023027927983992107,,,,,,,,,0.030949769975149508,0.030949769975149508,0.030949769975149508,0.030949769975149508,0.030949769975149508,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.03021217198566941,0.03021217198566941,,,0.014178797252363807,0.014178797252363807,,,,,0.03021217198566941,,,,0.02335249995961646,0.02335249995961646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017420695739022336,0.017420695739022336,,,,,,,,,,,,,,,,,,,,,,0.014368488003354612,0.014368488003354612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02511164498524539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03678789496505362,0.03021217198566941,,,,,,,,,,,,,,,,0.03678789496505362,,,,,,,,,,,,,,,,,,,,,,,,,,,
