,thẻ,trả,trước,s,fone,gọi,đến,hết,tiền,nghe,không,hạn,chế,thuê,bao,mạng,095,sắp,có,thêm,ưu,đãi,mới,thứ,trưởng,bộ,bưu,chính,viễn,thông,lê,nam,thắng,đã,ký,công,văn,số,429,bbcvt,khtc,đồng,ý,cho,di,động,nghệ,cdma,tung,ra,loại,tên,forever,sẽ,quy,định,thời,gian,khách,hàng,sử,dụng,là,nhiêu,lâu,các,mệnh,giá,của,dịch,vụ,tin,hiện,nay,đang,5,mức,thấp,nhất,50,000vnđ,và,cao,500,tuỳ,vào,từng,nạp,những,riêng,cùng,nhận,cuộc,10,15,ngày,được,như,vậy,họ,khi,nào,trong,thì,còn,tối,thiểu,100,với,cước,tính,270,1block,6,giây,tương,đương,2,700vnđ,phút,ngoài,tặng,mua,tài,khoản,cũng,trình,lãnh,đạo,xem,xét,áp,theo,block,1,song,phân,tích,chuyên,gia,phương,thức,nếu,bcvt,lại,lợi,nhiều,vì,thiết,lập,1giây,rất,khó,thể,đánh,thành,hay,chưa,này,quá,ngắn,để,thực,một,đàm,thoại
0,0.01443840158398504,0.01443840158398504,0.01443840158398504,0.00762101254845522,0.00762101254845522,0.006039509553413448,0.009850015827641058,0.009850015827641058,0.00762101254845522,0.009850015827641058,0.01524202509691044,0.009850015827641058,0.009850015827641058,0.01366052210186867,0.019700031655282117,0.02732104420373734,0.02732104420373734,0.01366052210186867,0.009625601055990026,0.009850015827641058,0.01366052210186867,0.01366052210186867,0.019700031655282117,0.009850015827641058,0.01366052210186867,0.00762101254845522,0.009850015827641058,0.009850015827641058,0.00762101254845522,0.006039509553413448,0.01366052210186867,0.01366052210186867,0.01366052210186867,0.00762101254845522,0.01366052210186867,0.019700031655282117,0.01366052210186867,0.009850015827641058,0.01366052210186867,0.01366052210186867,0.01366052210186867,0.00762101254845522,0.009850015827641058,0.01366052210186867,0.009850015827641058,0.009850015827641058,0.01366052210186867,0.01366052210186867,0.01366052210186867,0.009850015827641058,0.02732104420373734,0.01366052210186867,0.00762101254845522,0.006039509553413448,0.009850015827641058,0.009850015827641058,0.006039509553413448,0.006039509553413448,0.004812800527995013,0.004812800527995013,0.00762101254845522,0.006039509553413448,0.00381050627422761,0.009850015827641058,0.01366052210186867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.015208449668464241,0.015208449668464241,0.015208449668464241,,,,,,,,,,,,,,,,0.015208449668464241,,,,,,,,,,,0.019084850188786497,,,,,,,,,,,,,,,0.031126050015345744,0.031126050015345744,,,,,,,,,,,,,,,,,0.012041199826559249,,,0.031126050015345744,0.019084850188786497,0.015208449668464241,0.019084850188786497,0.06225210003069149,0.06225210003069149,0.043167249841904995,0.024082399653118498,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.031126050015345744,0.043167249841904995,0.031126050015345744,0.043167249841904995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050171665943996864,,,,,,,,,,,,,,,,0.1296918750639406,,0.10034333188799373,0.10034333188799373,0.17986354100793747,0.17986354100793747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6020599913279624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0.010863178334617314,0.010863178334617314,,,0.013632035849133212,,,0.01720171403794178,,,,,,,,,,0.02172635666923463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013632035849133212,,,0.027264071698266425,0.027264071698266425,0.010863178334617314,0.010863178334617314,0.03440342807588356,0.027264071698266425,0.00860085701897089,,,,0.013632035849133212,0.010863178334617314,,0.022232892868104103,0.022232892868104103,,,,,,,,,,,0.01720171403794178,,,0.030833749887074997,0.022232892868104103,0.030833749887074997,0.022232892868104103,0.030833749887074997,0.030833749887074997,0.030833749887074997,0.030833749887074997,0.022232892868104103,0.022232892868104103,0.030833749887074997,0.030833749887074997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.015518826192310448,0.007759413096155224,0.007759413096155224,,,0.00973716846366658,0.015880637762931502,0.031761275525863004,0.012286938598529844,0.015880637762931502,0.02457387719705969,0.031761275525863004,0.015880637762931502,,0.015880637762931502,,,,,,,,0.031761275525863004,,,,,,,,,,,,,,,0.015880637762931502,,,,,,,,,,,,,,,0.012286938598529844,0.01947433692733316,0.015880637762931502,0.015880637762931502,0.01947433692733316,0.01947433692733316,0.007759413096155224,0.007759413096155224,0.02457387719705969,0.01947433692733316,0.006143469299264922,0.015880637762931502,,,,,0.00973716846366658,,,,,,,,,,,,,0.012286938598529844,,,,,,,,,,,,,,,0.01947433692733316,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.012286938598529844,0.022024107062196426,0.022024107062196426,0.04404821412439285,0.015880637762931502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.031684270142633836,0.031684270142633836,0.031684270142633836,,,,,,,,,,,,,,,,0.031684270142633836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050171665943996864,0.039760104559971865,,,,,,,,,0.025085832971998432,,,,0.039760104559971865,0.031684270142633836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08993177050396874,0.08993177050396874,0.08993177050396874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043004285094854454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05558223217026026,,,,0.043004285094854454,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11116446434052052,0.05558223217026026,0.043004285094854454,0.07708437471768749,0.07708437471768749,0.07708437471768749,0.043004285094854454,0.07708437471768749,0.07708437471768749,0.05558223217026026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5395906230238124,0.5395906230238124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.03456465833741873,,,,,,,,,,,,,,,,,,,0.035370511381074714,,,,0.035370511381074714,,,,,,,,,,,,,,,,,,,,,,,,,,0.035370511381074714,,,,,,,,,0.017282329168709365,0.017282329168709365,,,,,,,0.021687329759984657,0.017282329168709365,0.021687329759984657,,,,,,,,,,,,,,,,,0.035370511381074714,,0.035370511381074714,,,,,,0.035370511381074714,,,0.021687329759984657,,,,0.02736636324218011,,,,0.035370511381074714,,,,,,,,,,,,,0.035370511381074714,,,0.04905369300216477,0.04905369300216477,0.04905369300216477,0.04905369300216477,0.04905369300216477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
