,keitai,thị,trường,đtdđ,mới,đầy,hấp,dẫn,hai,bé,gái,nhật,đang,dùng,thử,của,willcom,cuộc,cạnh,tranh,quyết,liệt,giành,giật,khách,hàng,các,nhà,cung,cấp,dịch,vụ,điện,thoại,di,động,ở,chuyển,qua,một,hướng,do,nhu,cầu,sử,dụng,người,lớn,dần,đi,đến,mức,bão,hòa,mạng,xứ,hoa,anh,đào,nhắm,vào,đối,tượng,trẻ,em,giờ,đây,từ,dành,cho,đã,trở,nên,rất,quen,thuộc,doanh,số,trong,năm,2005,lên,275,triệu,usd,bảo,vệ,khi,yumi,36,tuổi,tokyo,định,làm,lại,sau,thời,gian,dài,trông,nom,con,cái,chị,lập,tức,tìm,mua,cô,9,mình,chiếc,biết,“tôi,muốn,tôi,có,để,thể,liên,lạc,và,cháu,xa”,cũng,theo,lo,bị,đường,mùa,đông,vì,đó,trời,sụp,tối,sớm,hơn,bình,thường,tội,phạm,học,gia,tăng,gần,khiến,bậc,phụ,huynh,luôn,quan,ngại,sự,an,toàn,khai,thác,tâm,lý,lắng,nhạy,bén,tung,ra,loại,máy,như,đồ,chơi,lứa,tiểu,ngoài,chức,năng,đàm,gởi,tin,nhắn,thông,này,còn,thêm,tính,kiểm,duyệt,truy,cập,internet,nội,dung,trò,mang,giáo,dục,thiết,chẳng,hạn,tự,báo,phát,tín,hiệu,cứu,tấn,công,bắt,cóc,hay,ngày,càng,triển,mạnh,nhờ,tham,được,chính,quyền,khuyến,khích,nóng,lợi,nhuận,đều,sụt,giảm,tới,ngưỡng,70,tình,hình,buộc,hãng,phải,kiếm,thượng,đế,nhí,liệu,nghiên,yano,research,institute,đạt,“chúng,thấy,là,tiềm,năng”,ông,satoshi,okano,docomo,nhận,tuy,chậm,nhưng,kết,hợp,với,bandai,sản,xuất,đủ,giống,sẽ,mặt,giữa,nay,điều,sẵn,nuôi,gà,ảo,tamagochi,sanyo,electric,tích,vị,gps,còi,gọi,cài,đặt,khẩn
0,0.02561957409906223,0.008466808695149736,0.007378457153716092,0.009440372324100272,0.02974340443983059,0.01752997321158125,0.02127659574468085,0.02127659574468085,0.02768148926944641,0.02768148926944641,0.02127659574468085,0.019401359814881888,0.05536297853889282,0.01752997321158125,0.02768148926944641,0.014756914307432183,0.01752997321158125,0.02768148926944641,0.02127659574468085,0.02127659574468085,0.01752997321158125,0.02127659574468085,0.02768148926944641,0.02768148926944641,0.01752997321158125,0.01752997321158125,0.0064048935247655574,0.01752997321158125,0.02127659574468085,0.014871702219915295,0.01752997321158125,0.014871702219915295,0.01752997321158125,0.014871702219915295,0.02768148926944641,0.01752997321158125,0.008466808695149736,0.02768148926944641,0.02127659574468085,0.014871702219915295,0.02768148926944641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,0.006524963224010482,0.020557941304000554,,,,,,,,,,,0.01019963194778401,,,,,,,,,0.04846522005554816,0.04846522005554816,0.0088538234018818,,,,,,,,,,0.011704117902118753,,,,,0.038265588107764155,0.029411764705882353,0.029411764705882353,0.038265588107764155,0.038265588107764155,0.029411764705882353,0.029411764705882353,0.07653117621552831,0.02423261002777408,0.02423261002777408,0.038265588107764155,0.029411764705882353,0.029411764705882353,0.02423261002777408,0.038265588107764155,0.038265588107764155,0.038265588107764155,0.038265588107764155,0.029411764705882353,0.02423261002777408,0.038265588107764155,0.038265588107764155,0.015378786625892283,0.020557941304000554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0354152936075272,,,0.013049926448020964,,,,,,,,0.026819526802924962,,,,,,,,,,,,,,,,,,,,,,,,,0.023408235804237506,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030757573251784565,0.04111588260800111,0.07653117621552831,0.04846522005554816,0.04846522005554816,0.058823529411764705,0.026819526802924962,0.026819526802924962,0.058823529411764705,0.07653117621552831,0.058823529411764705,0.07653117621552831,0.07653117621552831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.03762874945799765,0.02487125054200235,0.02167421788904102,,,,,,,,,0.028495747228107774,,,,,,,,,,,,,,,,,,,,,,,,,0.02487125054200235,,,,,,,,,,,,,,0.05149429630901992,,,,,,,,,,,,,,,,,,,,0.028495747228107774,,,,,,0.05149429630901992,0.03762874945799765,0.03762874945799765,0.05149429630901992,0.0625,0.08131437472899883,0.0625,0.0625,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,0.005282113086103724,,,,,,,0.023809523809523808,,,,,0.008256844910110864,,,,,0.01961687478438854,,,,,,,0.01961687478438854,,,,,,,,,0.01894952422247798,,,0.0332842859207628,,,,,,,,,,0.01961687478438854,,,,,,,,,,,,,,0.012449493935246133,,,,,,0.010855522753564866,,0.023809523809523808,,,,,,,,,,,,,,0.01961687478438854,0.01961687478438854,0.0166421429603814,0.023809523809523808,0.03097690465866622,0.047619047619047616,0.03097690465866622,0.01961687478438854,0.03097690465866622,0.03097690465866622,0.03097690465866622,0.03097690465866622,0.03097690465866622,0.03097690465866622,0.01961687478438854,0.023809523809523808,0.028669523396569637,0.01961687478438854,0.01961687478438854,0.03097690465866622,0.03097690465866622,0.023809523809523808,0.03097690465866622,0.03097690465866622,0.03097690465866622,0.01961687478438854,0.03097690465866622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037450397315650856,0.031771363833455406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037450397315650856,,0.0207241798022602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037450397315650856,0.045454545454545456,0.02736636324218011,,0.037450397315650856,,,,,,,,,0.05913772707563551,0.05913772707563551,0.05913772707563551,0.09090909090909091,0.06354272766691081,0.045454545454545456,0.05913772707563551,0.05913772707563551,0.037450397315650856,0.0207241798022602,0.05913772707563551,0.05913772707563551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041666666666666664,,,,,0.025085832971998432,,,,,,,,,0.02912375018066745,0.041666666666666664,,,,,,,,,,,,,0.025085832971998432,,0.034329530872679946,,,,,,,0.034329530872679946,,,,,,,,,,0.034329530872679946,,,,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.034329530872679946,0.041666666666666664,0.054209583152665886,0.054209583152665886,0.041666666666666664,0.041666666666666664,0.054209583152665886,0.054209583152665886,0.054209583152665886,0.054209583152665886,0.054209583152665886,0.054209583152665886,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,0.01302662730427784,,,,0.009908213892133038,,,,,,,,,,,0.01720171403794178,,,,,0.01997057155245768,,,,,0.011369714533486789,,,,,,,,,,,,,,,,,,,,,,,0.02857142857142857,0.02354024974126625,,,0.01493939272229536,0.01997057155245768,,0.02354024974126625,,,0.01302662730427784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01720171403794178,0.02354024974126625,,,,,,,,0.02354024974126625,,,,,,,,,,,0.01302662730427784,,,,,,,0.02857142857142857,,,,,,,,,,,,0.07434457118079893,0.07434457118079893,0.02354024974126625,0.02354024974126625,0.02857142857142857,0.037172285590399465,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.037172285590399465,0.037172285590399465,0.037172285590399465,0.02857142857142857,0.02857142857142857,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.005282113086103724,,,,,,,,0.010855522753564866,,,,0.008256844910110864,,,,,,,,,,,0.021502142547427227,0.01961687478438854,0.023809523809523808,0.0166421429603814,0.01961687478438854,0.0166421429603814,0.01961687478438854,0.0166421429603814,,,0.00947476211123899,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0166421429603814,,,,0.023809523809523808,0.021711045507129732,,,,,,,,,,,,,,,,,,,,,0.023809523809523808,,,,,,,,,,,0.014334761698284819,0.01961687478438854,,,,,,,,,,,,,,,,,,,,,,,,0.023809523809523808,,,,,,,,,,,,,,,,0.01961687478438854,,,,,0.023809523809523808,0.023809523809523808,0.023809523809523808,,,,,,,0.03097690465866622,0.03097690465866622,0.03097690465866622,0.03097690465866622,0.03097690465866622,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.014334761698284819,0.0166421429603814,0.0166421429603814,0.023809523809523808,0.0166421429603814,0.03097690465866622,0.03097690465866622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,0.0054109451125940585,,,,,,,,,,,,,,,,,,,,,,,0.014684390032389328,,,,,,,0.017048048886244362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012753140128788722,,,,,,,,,,,,,,,,,,,,,,0.020095335144983385,0.020095335144983385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034096097772488725,,,,,0.01112029160121279,,,,,,,,,,,,,,,,,,0.024390243902439025,,,,,,,,,,,,,,,,,,,,,,,,,,0.014684390032389328,0.017048048886244362,0.017048048886244362,,0.017048048886244362,,,0.03173243891863369,0.03173243891863369,0.04019067028996677,0.03173243891863369,0.03173243891863369,0.03173243891863369,0.03173243891863369,0.024390243902439025,0.024390243902439025,0.03173243891863369,0.06346487783726738,0.04019067028996677,0.03173243891863369,0.03173243891863369,0.03173243891863369,0.03173243891863369,0.03173243891863369,0.03173243891863369,0.03173243891863369,0.024390243902439025,0.03173243891863369,0.03173243891863369,0.03173243891863369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
