,số,liệu,thống,kê,virus,và,spam,trong,tháng,2,cho,thấy,netsky,vẫn,là,phổ,biến,nhất,trên,internet,đứng,đầu,bảng,danh,sách,top,10,nguy,hiểm,của,mặc,dù,các,hãng,bảo,mật,đã,tung,ra,bản,cập,nhật,thông,tin,nhận,dạng,phần,mềm,độc,hại,này,nhưng,chúng,lan,tràn,tiếp,tục,hoành,hành,khẳng,định,vị,trí,quán,quân,mình,xếp,hạng,một,loạt,như,sophos,fortinet,hay,softscan,với,tỉ,lệ,báo,cáo,trung,bình,18,nhiễm,được,gửi,về,không,có,giới,hạn,thời,gian,hoạt,động,nó,cũng,hề,chịu,nằm,tầm,kiểm,soát,đây,chính,nguyên,nhân,khiến,trở,thành,tồn,tại,lâu,5,loại,máy,tính,diego,ambra,kỹ,sư,công,nghệ,cao,cấp,biết,mytob,zafi,góp,mặt,cùng,để,những,gương,quen,thuộc,từ,nhiều,qua,xuất,hiện,thêm,mới,trojan,clagger,chỉ,cuối,tuần,trước,con,ước,tới,32,triệu,tài,khoản,thư,điện,tử,anh,sao,gây,nên,cơn,bão,cộng,đồng,chống,đưa,vào,chiếm,hơn,3,lượng,còn,bagle,sâu,lây,hẳn,so,nếu,theo,đúng,khác,399,messagelabs,lại,khá,yên,khi,mà,giảm,60,rất,94,7,2004,hai
0,0.022720059748555354,0.056004345669318153,0.04166958397103333,0.04166958397103333,0.021128452344414895,0.022720059748555354,0.04166958397103333,0.010564226172207447,0.01576158185911545,0.0332842859207628,0.027334822272748516,0.04166958397103333,0.027334822272748516,0.0332842859207628,0.022720059748555354,0.056004345669318153,0.056004345669318153,0.022720059748555354,0.0332842859207628,0.04166958397103333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,0.017065288432027415,,,,0.02546101684934034,,,,,,,,,0.03670163497843557,,,0.09046855838889857,0.09046855838889857,0.02100009785105674,0.06731240487628462,0.06731240487628462,0.03670163497843557,0.03670163497843557,0.03670163497843557,0.03670163497843557,0.013545481465821635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,0.014458219839989772,,,,,,,,0.021180909222303604,,,,,0.021180909222303604,0.02651700798156667,,,,,,,,,,,0.03563912906229338,0.02651700798156667,0.014458219839989772,0.017394886900839967,0.017394886900839967,0.017394886900839967,0.017394886900839967,0.03563912906229338,0.03563912906229338,0.02651700798156667,0.03563912906229338,0.03563912906229338,0.021180909222303604,0.03563912906229338,0.02651700798156667,0.03563912906229338,0.014458219839989772,0.017394886900839967,0.017394886900839967,0.017394886900839967,0.014458219839989772,0.02651700798156667,0.03563912906229338,0.03563912906229338,0.03563912906229338,0.02651700798156667,0.02651700798156667,0.03563912906229338,0.03563912906229338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.007573353249518451,,,,0.003521408724069149,,,0.003521408724069149,0.005253860619705149,0.011094761973587601,0.009111607424249504,,0.009111607424249504,,0.007573353249518451,,,0.007573353249518451,0.011094761973587601,,,,0.004333353524821232,,,0.007573353249518451,0.007573353249518451,0.007573353249518451,0.007573353249518451,0.005590198700180357,,,0.022720059748555354,0.01822321484849901,0.01822321484849901,0.01822321484849901,,,,,,,0.011094761973587601,,,,0.007573353249518451,0.009111607424249504,0.009111607424249504,0.009111607424249504,0.007573353249518451,,,,,0.013889861323677779,0.013889861323677779,,,0.018668115223106053,0.018668115223106053,0.018668115223106053,0.018668115223106053,0.018668115223106053,0.018668115223106053,0.018668115223106053,0.005253860619705149,0.005253860619705149,0.007573353249518451,0.018668115223106053,0.013889861323677779,0.009111607424249504,0.018668115223106053,0.018668115223106053,0.013889861323677779,0.009111607424249504,0.013889861323677779,0.013889861323677779,0.027779722647355558,0.018668115223106053,0.018668115223106053,0.013889861323677779,0.018668115223106053,0.013889861323677779,0.013889861323677779,0.018668115223106053,0.018668115223106053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,0.008532644216013708,0.018350817489217786,,0.008532644216013708,,,,,0.022078125681835342,,,,,,,,,,,,,,,,,0.006772740732910817,,,0.018350817489217786,0.022078125681835342,0.022078125681835342,0.022078125681835342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09046855838889857,0.022078125681835342,0.045234279194449285,0.045234279194449285,0.03365620243814231,0.03365620243814231,0.045234279194449285,0.045234279194449285,0.03365620243814231,0.026883461705231496,0.045234279194449285,0.045234279194449285,0.045234279194449285,0.045234279194449285,0.045234279194449285,0.045234279194449285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,0.011991824303586833,,,0.005995912151793416,,,0.03102871717447129,,,,0.012895169046477363,,,0.025790338092954727,,,,,,0.023650304415991894,0.023650304415991894,,,0.012895169046477363,0.012895169046477363,0.0047592232177211145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023650304415991894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03178625024474815,0.03178625024474815,0.03178625024474815,0.03178625024474815,0.03178625024474815,0.023650304415991894,0.023650304415991894,0.03178625024474815,0.023650304415991894,0.03178625024474815,0.023650304415991894,0.023650304415991894,0.023650304415991894,0.018891081198270782,0.03178625024474815,0.03178625024474815,0.03178625024474815,0.03178625024474815,0.03178625024474815,0.03178625024474815,0.023650304415991894,0.03178625024474815,0.03178625024474815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,0.007649956883322634,0.016452457059298705,,0.007649956883322634,0.011413559277290498,,,,0.019794181645783407,0.024102413942621338,,,,,,,,,0.00941383696771509,,,0.016452457059298705,0.016452457059298705,0.016452457059298705,0.016452457059298705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011413559277290498,0.011413559277290498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030174526323851727,0.030174526323851727,,,,,,,,,,,,,,,,,0.04055487100192005,0.04055487100192005,0.030174526323851727,0.048204827885242676,0.04055487100192005,0.04055487100192005,0.04055487100192005,0.024102413942621338,0.04055487100192005,0.04055487100192005,0.030174526323851727,0.030174526323851727,0.024102413942621338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,0.008532644216013708,0.01273050842467017,,,,,,,,,,,,,,0.01050004892552837,,,,,,,0.006772740732910817,,0.03365620243814231,,,,,,,,,,,,,,,,,,,0.018350817489217786,,,,,,,,,,,,,,,,0.01273050842467017,0.01273050842467017,0.018350817489217786,,,,,,,,,,,,,,,,,,,,0.022078125681835342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026883461705231496,,,,0.026883461705231496,,,0.03365620243814231,,,0.09046855838889857,0.09046855838889857,0.045234279194449285,0.06731240487628462,0.026883461705231496,0.026883461705231496,0.045234279194449285,0.045234279194449285,0.045234279194449285,0.03365620243814231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.009940026139992966,,,,0.004621848950340758,,,0.004621848950340758,,,,,,,,,,,,,,,0.005687526501327867,,,,,,,0.003668567896993359,,,,,,,0.02391796948865495,,,0.018230442987327084,,,,,0.018230442987327084,,0.009940026139992966,,,,0.009940026139992966,,,,,,,,,,,,,,,,0.0068956920633630086,0.0068956920633630086,0.019880052279985932,,0.018230442987327084,,,,,0.011958984744327475,,,,,,,,,0.018230442987327084,,,,0.011958984744327475,,,,,,,0.03646088597465417,0.014561875090333725,,,,,,,,,,,,,,,0.018230442987327084,,,,,0.014561875090333725,,,,,,,,,,,,0.018230442987327084,,,,,,,,,,,,,,,0.014561875090333725,,,,,,0.02912375018066745,0.024501901230326695,0.014561875090333725,0.024501901230326695,0.024501901230326695,0.024501901230326695,0.024501901230326695,0.018230442987327084,0.018230442987327084,0.018230442987327084,0.024501901230326695,0.024501901230326695,0.024501901230326695,0.024501901230326695,0.024501901230326695,0.024501901230326695,0.024501901230326695,0.024501901230326695,0.024501901230326695,0.024501901230326695,0.024501901230326695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.022720059748555354,,,,,,,0.010564226172207447,,0.0332842859207628,,,,,,,,,,,,,,,,,,,,,,,0.022720059748555354,,,,0.027334822272748516,,,,,,0.0332842859207628,,,,0.022720059748555354,0.027334822272748516,0.027334822272748516,0.027334822272748516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04166958397103333,,,,,,,,,,,,,0.04166958397103333,0.04166958397103333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0332842859207628,,,,,0.0332842859207628,0.0332842859207628,,,,,,,0.0332842859207628,,,,,,,,,,,,,,,,,,,0.0332842859207628,0.04166958397103333,0.056004345669318153,0.056004345669318153,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,0.012324930534242022,,,0.012324930534242022,,,,,,,0.026506736373314577,,,,,,,,0.015166737336874313,,,0.026506736373314577,0.026506736373314577,,,0.009782847725315624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018388512168968023,0.018388512168968023,0.026506736373314577,,,0.031890625984873265,,,,,,,,,,,,,,,,,0.031890625984873265,,,,,,,,0.0388316669075566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0388316669075566,,,,0.0388316669075566,,,,,,,,,0.048614514632872224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048614514632872224,0.06533840328087118,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,0.010920050882549506,,,,,,,0.007043650362227249,,,,,,,,,,,,,,,,,,,,,0.019084850188786497,,,,,,,,,,,,,,,,0.013239728761656978,0.013239728761656978,,,,0.022961250709108753,,,,0.022961250709108753,0.03500245053566801,0.03500245053566801,,,,,,0.03500245053566801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03500245053566801,0.027958800173440754,,,,,,,0.03500245053566801,,,,,,,,,,,,,,,,,,,,,0.027958800173440754,,,,,0.027958800173440754,,,,,,,,,,,,,,,,,,,,,0.027958800173440754,0.03500245053566801,,,0.03500245053566801,,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.03500245053566801,0.047043650362227254,0.047043650362227254,0.047043650362227254,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05301347274662915,,,,,,,,,,,,,,0.05301347274662915,0.06378125196974653,0.06378125196974653,0.06378125196974653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09722902926574445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0776633338151132,,,,,,,,,,,,,0.13067680656174235,0.13067680656174235,,,,,,,,,,,,,
